Layer,Parameter,Weight
Layer 2155,Parameter 3,[-0.6740458]
Layer 2156,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2156,Parameter 1,[0.4031271]
Layer 2156,Parameter 2,[[-0.68602014]]
Layer 2156,Parameter 3,[-0.6740458]
Layer 2157,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2157,Parameter 1,[0.4031271]
Layer 2157,Parameter 2,[[-0.68602014]]
Layer 2157,Parameter 3,[-0.6740458]
Layer 2158,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2158,Parameter 1,[0.4031271]
Layer 2158,Parameter 2,[[-0.68602014]]
Layer 2158,Parameter 3,[-0.6740458]
Layer 2159,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2159,Parameter 1,[0.4031271]
Layer 2159,Parameter 2,[[-0.68602014]]
Layer 2159,Parameter 3,[-0.6740458]
Layer 2160,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2160,Parameter 1,[0.4031271]
Layer 2160,Parameter 2,[[-0.68602014]]
Layer 2160,Parameter 3,[-0.6740458]
Layer 2161,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2161,Parameter 1,[0.4031271]
Layer 2161,Parameter 2,[[-0.68602014]]
Layer 2161,Parameter 3,[-0.6740458]
Layer 2162,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2162,Parameter 1,[0.4031271]
Layer 2162,Parameter 2,[[-0.68602014]]
Layer 2162,Parameter 3,[-0.6740458]
Layer 2163,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2163,Parameter 1,[0.4031271]
Layer 2163,Parameter 2,[[-0.68602014]]
Layer 2163,Parameter 3,[-0.6740458]
Layer 2164,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2164,Parameter 1,[0.4031271]
Layer 2164,Parameter 2,[[-0.68602014]]
Layer 2164,Parameter 3,[-0.6740458]
Layer 2165,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2165,Parameter 1,[0.4031271]
Layer 2165,Parameter 2,[[-0.68602014]]
Layer 2165,Parameter 3,[-0.6740458]
Layer 2166,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2166,Parameter 1,[0.4031271]
Layer 2166,Parameter 2,[[-0.68602014]]
Layer 2166,Parameter 3,[-0.6740458]
Layer 2167,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2167,Parameter 1,[0.4031271]
Layer 2167,Parameter 2,[[-0.68602014]]
Layer 2167,Parameter 3,[-0.6740458]
Layer 2168,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2168,Parameter 1,[0.4031271]
Layer 2168,Parameter 2,[[-0.68602014]]
