Layer,Parameter,Weight
Layer 2324,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2324,Parameter 1,[0.4031271]
Layer 2324,Parameter 2,[[-0.68602014]]
Layer 2324,Parameter 3,[-0.6740458]
Layer 2325,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2325,Parameter 1,[0.4031271]
Layer 2325,Parameter 2,[[-0.68602014]]
Layer 2325,Parameter 3,[-0.6740458]
Layer 2326,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2326,Parameter 1,[0.4031271]
Layer 2326,Parameter 2,[[-0.68602014]]
